Date,Brand,Category,Market_Share_Percent,Sales_Volume_Units,Sales_Revenue_EUR,Price_Per_Unit_EUR,Region,Competitor_Count,Market_Growth_Rate
2023-03-01,BrandB,Snacks,20.2,410000,1230000,3.0,South,7,3.2
2023-03-01,BrandC,Snacks,19.5,390000,1170000,3.0,South,7,3.2
2023-03-01,BrandD,Snacks,15.5,310000,930000,3.0,South,7,3.2
2023-03-01,BrandE,Snacks,24.7,495000,1485000,3.0,South,7,3.2
2023-04-01,BrandA,Snacks,21.5,430000,1290000,3.0,South,7,2.9
2023-04-01,BrandB,Snacks,19.5,395000,1185000,3.0,South,7,2.9
2023-04-01,BrandC,Snacks,18.8,375000,1125000,3.0,South,7,2.9
2023-04-01,BrandD,Snacks,15.2,305000,915000,3.0,South,7,2.9
2023-04-01,BrandE,Snacks,25.0,500000,1500000,3.0,South,7,2.9
2023-05-01,BrandA,Snacks,22.8,455000,1365000,3.0,South,7,4.1
2023-05-01,BrandB,Snacks,18.9,380000,1140000,3.0,South,7,4.1
2023-05-01,BrandC,Snacks,18.2,365000,1095000,3.0,South,7,4.1
2023-05-01,BrandD,Snacks,14.8,295000,885000,3.0,South,7,4.1
2023-05-01,BrandE,Snacks,25.3,505000,1515000,3.0,South,7,4.1
2023-06-01,BrandA,Snacks,23.5,470000,1410000,3.0,South,7,4.8
2023-06-01,BrandB,Snacks,18.2,365000,1095000,3.0,South,7,4.8
2023-06-01,BrandC,Snacks,17.5,350000,1050000,3.0,South,7,4.8
2023-06-01,BrandD,Snacks,14.5,290000,870000,3.0,South,7,4.8
2023-06-01,BrandE,Snacks,26.3,525000,1575000,3.0,South,7,4.8
2023-01-01,BrandA,Dairy,16.2,325000,975000,3.0,East,6,1.5
2023-01-01,BrandB,Dairy,19.8,395000,1185000,3.0,East,6,1.5
2023-01-01,BrandC,Dairy,22.5,450000,1350000,3.0,East,6,1.5
2023-01-01,BrandD,Dairy,18.3,365000,1095000,3.0,East,6,1.5
2023-01-01,BrandE,Dairy,23.2,465000,1395000,3.0,East,6,1.5
2023-02-01,BrandA,Dairy,16.8,335000,1005000,3.0,East,6,2.1
2023-02-01,BrandB,Dairy,20.2,405000,1215000,3.0,East,6,2.1
2023-02-01,BrandC,Dairy,22.1,440000,1320000,3.0,East,6,2.1
2023-02-01,BrandD,Dairy,18.5,370000,1110000,3.0,East,6,2.1
2023-02-01,BrandE,Dairy,22.4,450000,1350000,3.0,East,6,2.1
2023-03-01,BrandA,Dairy,17.5,350000,1050000,3.0,East,6,2.8
2023-03-01,BrandB,Dairy,20.8,415000,1245000,3.0,East,6,2.8
2023-03-01,BrandC,Dairy,21.5,430000,1290000,3.0,East,6,2.8
2023-03-01,BrandD,Dairy,18.7,375000,1125000,3.0,East,6,2.8
2023-03-01,BrandE,Dairy,21.5,430000,1290000,3.0,East,6,2.8
2023-04-01,BrandA,Dairy,18.2,365000,1095000,3.0,East,6,2.5
2023-04-01,BrandB,Dairy,21.5,430000,1290000,3.0,East,6,2.5
2023-04-01,BrandC,Dairy,20.8,415000,1245000,3.0,East,6,2.5
2023-04-01,BrandD,Dairy,18.9,380000,1140000,3.0,East,6,2.5
2023-04-01,BrandE,Dairy,20.6,415000,1245000,3.0,East,6,2.5
2023-05-01,BrandA,Dairy,19.0,380000,1140000,3.0,East,6,3.2
2023-05-01,BrandB,Dairy,22.2,445000,1335000,3.0,East,6,3.2
2023-05-01,BrandC,Dairy,20.1,405000,1215000,3.0,East,6,3.2
2023-05-01,BrandD,Dairy,19.1,385000,1155000,3.0,East,6,3.2
2023-05-01,BrandE,Dairy,19.6,395000,1185000,3.0,East,6,3.2
2023-06-01,BrandA,Dairy,19.8,395000,1185000,3.0,East,6,3.9
2023-06-01,BrandB,Dairy,22.9,460000,1380000,3.0,East,6,3.9
2023-06-01,BrandC,Dairy,19.5,390000,1170000,3.0,East,6,3.9
2023-06-01,BrandD,Dairy,19.3,385000,1155000,3.0,East,6,3.9
2023-06-01,BrandE,Dairy,18.5,370000,1110000,3.0,East,6,3.9
