CustomerID,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Internet_Service,Online_Security,Tech_Support,Paperless_Billing,Payment_Method,Customer_Service_Calls,Monthly_Increase_Rate,Churn
92,33,135.16881941466522,2273.5092832711275,One year,DSL,No,Yes,Yes,Bank transfer,7,5.485269553923359,0
93,48,126.09027550463567,4106.436672859043,Month-to-month,No,No,No,No,Bank transfer,9,7.645101817711419,1
94,23,22.462902438666095,6311.713851510595,One year,No,No,Yes,Yes,Bank transfer,0,-3.1419324861157505,0
95,62,115.66933396175854,7065.607935778458,One year,Fiber optic,No,No,Yes,Credit card,2,8.303130478112264,1
96,37,47.091944570383106,6725.708198330897,Two year,DSL,Yes,No,Yes,Credit card,1,7.342483145093517,0
97,44,37.28064555203774,4699.227815542655,Two year,No,No,No,Yes,Mailed check,6,13.797939640225252,1
98,35,103.00354202388762,2065.648891171955,One year,No,No,No,Yes,Mailed check,5,11.813509831245401,0
99,65,61.56661540300034,5323.7437277687395,Month-to-month,DSL,No,No,No,Credit card,0,13.864837274779301,0
100,47,27.42523123815762,5708.249861658903,Month-to-month,Fiber optic,No,No,No,Mailed check,2,14.322152463135321,0
101,3,37.89186547178697,184.46672189666117,Month-to-month,Fiber optic,Yes,Yes,Yes,Bank transfer,3,3.8161707195924404,1
102,1,20.12082419309494,3569.763036361809,One year,DSL,No,No,Yes,Mailed check,9,4.758213625560215,1
103,5,137.41907155481195,6761.770138291938,Month-to-month,DSL,No,No,Yes,Bank transfer,6,0.6324393657820204,1
104,14,23.200337899361017,3967.7420103200743,One year,No,No,Yes,Yes,Credit card,2,5.168648051896739,0
105,27,47.22925003623644,2559.8659930902368,Month-to-month,No,Yes,No,Yes,Mailed check,3,-1.985706036015762,1
106,9,74.11416148942796,6987.202391094836,Two year,Fiber optic,No,No,No,Bank transfer,6,8.428619215163959,1
107,15,66.35427237360648,1331.457510485465,Two year,DSL,Yes,No,No,Credit card,3,-4.501349306699409,0
108,42,138.52436399866085,1730.9173360879831,One year,Fiber optic,No,No,Yes,Credit card,8,-0.28744487428900456,1
109,51,25.237562945490474,5530.241698795454,Month-to-month,DSL,No,No,Yes,Bank transfer,5,-0.838566036173698,0
110,63,86.58791199801671,2884.243938059942,One year,DSL,No,No,Yes,Bank transfer,1,13.757781428441081,0
111,52,108.46233012816862,5732.833002296854,Month-to-month,Fiber optic,No,No,Yes,Credit card,0,-2.1019649658430173,1
112,4,141.12073657855194,1345.858607949986,Month-to-month,Fiber optic,No,No,No,Electronic check,7,12.815509015661885,1
113,23,100.64826277608373,2092.925807846683,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,2,-2.5128355726367246,1
114,15,124.48818068152914,1337.5142890727047,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,6,8.013959725609247,1
115,43,30.88424191989529,7627.991477151726,Month-to-month,No,No,No,No,Mailed check,3,1.3977193634667628,0
116,29,70.17213642180056,3302.6912907223004,Month-to-month,Fiber optic,Yes,No,No,Bank transfer,2,1.3200473709398324,1
117,36,68.61312748227877,2764.0372882907855,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,8,14.965422002429303,1
118,13,135.2174681392433,212.19703374904114,One year,Fiber optic,No,No,Yes,Bank transfer,5,-0.479142844141518,0
119,32,39.67825226422574,1311.9988773460104,Two year,No,No,Yes,Yes,Electronic check,5,-0.9487986413111482,0
120,71,39.74520240376194,3426.973264315746,Two year,Fiber optic,No,No,Yes,Bank transfer,5,6.786694981959272,0
121,59,62.7125594851538,641.1720613179631,Month-to-month,Fiber optic,No,No,Yes,Electronic check,2,9.81504794057146,0
122,28,27.080586157688884,4134.840703099114,One year,DSL,No,No,No,Mailed check,5,14.650090470468953,0
123,66,43.71954528482371,3694.6219638691377,Two year,Fiber optic,No,No,No,Mailed check,3,9.028275484749216,0
124,42,145.47725301094556,6160.628308720381,Month-to-month,Fiber optic,Yes,No,No,Mailed check,1,6.2374213250081905,1
125,45,75.66391218273247,5312.441341062501,Two year,DSL,No,No,Yes,Bank transfer,2,3.1826343551617526,1
126,62,102.16249709491673,3622.9837120325333,One year,Fiber optic,No,No,No,Electronic check,3,6.902256179453328,1
127,57,114.3944637148028,1874.8195308300644,Two year,No,No,No,No,Bank transfer,0,7.016699935053834,1
128,6,67.70498291093605,5842.22217154067,Two year,DSL,No,Yes,Yes,Mailed check,6,-0.6457701227135253,0
129,28,39.139519673367204,5692.110617288213,One year,DSL,No,No,Yes,Bank transfer,4,8.424171230676068,1
130,28,46.85553210883151,1311.0396680715605,One year,Fiber optic,No,Yes,Yes,Electronic check,8,-0.9115241867119188,0
131,44,60.72464195547935,7326.539468260681,Month-to-month,No,No,No,Yes,Credit card,5,4.799096467907182,0
132,30,102.68889464578933,608.8004165188411,Month-to-month,DSL,No,No,No,Electronic check,7,0.19739025259824672,0
133,62,71.77647138157707,534.797900252458,One year,Fiber optic,Yes,No,Yes,Mailed check,8,1.2560204745950205,0
134,62,20.885910727016654,1580.0682995331733,Month-to-month,Fiber optic,No,No,No,Mailed check,5,7.277540399920596,0
135,1,88.04293405877134,7284.7403045852925,Month-to-month,DSL,Yes,No,Yes,Mailed check,6,-3.7102977052439945,1
136,27,139.79674094796434,4207.9851798916825,Month-to-month,No,Yes,No,No,Bank transfer,5,-4.7593036935154505,0
137,62,125.57008943112828,6324.733273315911,Two year,No,No,No,No,Electronic check,5,-2.3875998090471273,1
138,3,127.27747826375204,1899.961185804355,Month-to-month,DSL,No,No,No,Bank transfer,1,-1.6258604385100495,1
139,70,123.35754228879705,3972.7535997645527,Month-to-month,DSL,No,No,Yes,Mailed check,4,-1.0425406390873215,0
140,27,62.08500732935507,2930.48676262867,One year,Fiber optic,No,No,No,Electronic check,5,10.478621404289596,1
141,9,119.47519838807096,6639.845995822922,One year,DSL,Yes,No,Yes,Credit card,9,3.9371593407575727,1
142,62,38.61097651545509,278.57507093789036,Month-to-month,No,Yes,No,No,Mailed check,4,4.398722676885443,0
143,37,105.50309914587396,2026.3575667322323,Two year,DSL,Yes,No,Yes,Electronic check,3,7.886683257110869,1
144,51,103.40391366904927,1305.3363719887923,One year,Fiber optic,No,No,No,Electronic check,5,9.582175368256953,0
145,44,23.324073881665505,6887.5934059003985,One year,Fiber optic,Yes,No,No,Mailed check,5,-4.929833008931279,0
146,24,122.43611736682111,3793.596412580749,Month-to-month,Fiber optic,Yes,No,No,Credit card,7,12.134506716103392,0
147,59,137.42225366236698,3293.338346756408,One year,DSL,No,No,No,Electronic check,7,14.768696945482166,0
148,32,54.763986201373996,3650.913820598531,Two year,No,Yes,No,Yes,Electronic check,9,-2.5638513552315656,1
149,52,125.61079414419962,7778.203950548448,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,0,8.021611673138072,0
150,62,30.712776342053267,6817.1124152538005,Month-to-month,Fiber optic,No,No,Yes,Mailed check,1,-4.95172491198047,0
151,58,97.99582157393858,5680.313297617429,Month-to-month,DSL,No,No,Yes,Electronic check,0,-4.019410276508353,0
152,52,83.13409249345602,2394.7837778637113,Two year,No,No,No,No,Mailed check,9,0.7000204017211065,0
153,12,90.97005933017,1404.8666961957374,Month-to-month,DSL,No,No,No,Bank transfer,6,11.92808168839268,1
154,39,140.40667624496484,7379.325669293182,Two year,Fiber optic,No,No,No,Bank transfer,7,8.05001802875475,0
155,2,133.27098214209096,3442.2966300922144,Month-to-month,Fiber optic,Yes,Yes,Yes,Credit card,2,3.916418639446537,1
156,3,122.06087544116842,2302.17081580217,One year,DSL,No,No,Yes,Mailed check,2,3.7719694720478554,0
157,56,55.58079949818823,3820.27452869932,One year,No,No,No,Yes,Electronic check,6,4.321071487062532,1
158,59,138.53642172919191,7350.994640280782,Month-to-month,Fiber optic,No,No,No,Credit card,7,1.2206621560200759,1
159,2,32.67600002030378,3157.8317757912164,One year,DSL,No,No,Yes,Bank transfer,5,12.554290352510286,1
160,2,130.93279815264242,4544.8638782599855,Month-to-month,DSL,No,No,No,Mailed check,7,6.357382623995946,1
161,54,62.66080940596901,6443.433778757678,Month-to-month,DSL,No,No,Yes,Credit card,1,4.678999270517057,0
162,1,26.99040051605784,3474.3469952822907,Two year,Fiber optic,No,No,Yes,Credit card,6,4.301532063142076,1
163,19,107.01640795129728,1944.9802352183096,Month-to-month,No,No,No,No,Mailed check,4,13.716529337958853,0
164,2,50.06639068107421,7956.753412225964,One year,DSL,No,No,No,Electronic check,5,9.473238564393636,1
165,53,51.66424636240215,7656.909773872061,Month-to-month,DSL,No,Yes,No,Electronic check,6,-2.1037089056682867,0
166,44,59.786131609740295,6763.485436091561,Month-to-month,DSL,No,No,Yes,Electronic check,8,3.739403398865303,1
167,32,28.279019775327175,5538.153647148788,One year,No,Yes,No,Yes,Mailed check,6,0.7674442082904669,1
168,70,43.02652874577302,2429.438461750606,One year,DSL,No,No,Yes,Bank transfer,0,14.737373154603254,0
169,32,20.66815158612284,7315.962211495853,Month-to-month,DSL,Yes,No,No,Credit card,4,3.307914126263615,1
170,68,77.90323774375229,2276.8976939577074,One year,Fiber optic,Yes,No,Yes,Mailed check,3,-3.642597939404353,0
171,55,30.953199064336268,6426.395007946977,Month-to-month,Fiber optic,No,No,No,Electronic check,7,3.2242400292560873,1
172,56,108.74483865574587,7354.23952673632,Two year,Fiber optic,No,Yes,No,Electronic check,6,1.4270056121187054,1
173,17,50.63097065491429,4863.730339396301,Month-to-month,No,Yes,No,No,Credit card,3,6.991652941564956,0
174,38,142.66463872457302,6444.144121340313,Month-to-month,No,No,No,Yes,Credit card,2,-0.4784364954194036,0
175,24,133.26271156182483,6354.391283693798,Two year,Fiber optic,No,No,Yes,Credit card,5,-4.280527006012367,0
176,69,57.62731634586707,1625.946233855741,Month-to-month,Fiber optic,No,No,No,Credit card,7,-3.0823924968221728,0
177,70,121.81800910536823,5376.603341409069,Month-to-month,Fiber optic,Yes,Yes,No,Credit card,2,0.6629517906873073,1
178,11,124.42183760642482,838.3967015451041,Month-to-month,No,No,Yes,No,Mailed check,4,1.9664526306621521,1
179,16,148.25320483487334,4112.016130786103,Two year,Fiber optic,No,No,Yes,Electronic check,9,11.689010800894657,1
180,59,97.71919828993904,1381.6608303105622,Two year,DSL,No,No,No,Electronic check,0,0.40139368028769606,0
181,70,30.655545503676084,3389.16104049181,Two year,No,No,Yes,Yes,Mailed check,9,-4.370138930479078,1
182,3,104.08883976042952,6680.558390117658,One year,DSL,No,No,Yes,Bank transfer,9,10.614669664057084,1
183,20,101.24736728888458,7898.625933078614,One year,No,Yes,No,No,Electronic check,7,12.378351401779252,1
184,59,102.98557506465613,2611.88267011098,One year,DSL,No,No,Yes,Bank transfer,6,4.846124748010556,0
185,36,59.928934253547496,4302.450020387095,Month-to-month,DSL,No,No,Yes,Bank transfer,7,0.698544615129415,1
186,19,131.75834606044327,4139.25439252686,Two year,DSL,Yes,No,Yes,Bank transfer,1,10.44279760236832,0
187,67,144.73138378420356,7639.771927665422,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,6,-4.82203186636019,1
188,19,48.3026266871597,3880.811486218911,Month-to-month,No,No,Yes,Yes,Electronic check,3,13.480564582157893,1
189,20,31.45978055776378,5622.939022657612,Two year,DSL,No,No,Yes,Electronic check,1,12.310632897546224,1
190,71,45.28955431190293,7382.134941557356,Two year,Fiber optic,Yes,Yes,Yes,Mailed check,8,5.8966641990967155,0
191,52,126.67177810324344,3049.6906203410367,Month-to-month,Fiber optic,No,No,No,Electronic check,4,0.5516237581957721,1
192,33,107.96380252658017,7226.765682138563,Month-to-month,Fiber optic,Yes,Yes,No,Mailed check,6,-4.343102345020046,1
193,40,102.68615450408646,7347.904152939007,One year,DSL,No,Yes,No,Bank transfer,3,14.996475003937245,1
194,39,72.23310756422518,7452.233781340333,One year,Fiber optic,No,Yes,Yes,Mailed check,9,10.241474460773679,1
195,1,95.11763629648664,2236.5248652242685,One year,No,No,No,Yes,Mailed check,3,1.7741975161631673,0
196,11,60.02363628566776,3262.809194732672,Month-to-month,Fiber optic,No,No,No,Electronic check,2,-4.614560567224308,1
197,57,82.03601032433497,6976.127674983045,Two year,Fiber optic,No,Yes,Yes,Mailed check,0,7.785834569215421,0
198,50,123.09819368818526,2937.378411815308,Month-to-month,No,No,No,Yes,Bank transfer,1,14.73808011503391,1
199,23,147.5614076692101,4841.99896017469,One year,DSL,No,No,Yes,Electronic check,8,9.141454172653345,0
200,31,141.22356006667422,1032.6306073544106,One year,No,Yes,No,Yes,Electronic check,0,-3.3257118286038945,0
201,42,141.40257257001235,544.572406078802,Month-to-month,DSL,No,Yes,No,Electronic check,4,3.045567443471125,1
202,7,72.28908553012461,3354.7525169881633,Month-to-month,Fiber optic,No,Yes,No,Credit card,1,-2.8163307454488384,1
203,16,80.94268446588282,4673.440607482468,Two year,DSL,No,No,No,Bank transfer,3,13.243210992018952,0
204,60,111.7326015279676,3202.322995535637,Two year,Fiber optic,No,No,No,Mailed check,6,1.6082894190516157,1
205,2,139.88495064666694,4664.1125842706515,Month-to-month,Fiber optic,No,No,No,Credit card,4,9.667530586813422,1
206,1,38.459253715771005,4169.166571757101,Two year,Fiber optic,No,No,Yes,Electronic check,0,-3.3061928398178675,0
207,48,59.551442297535445,5517.08711136,Month-to-month,DSL,Yes,Yes,Yes,Credit card,2,-2.4317060840912097,1
208,12,38.10208979723424,5231.306205416579,One year,Fiber optic,Yes,No,No,Credit card,9,8.589753241013693,0
209,69,99.56110889472919,3451.5410553319825,Month-to-month,Fiber optic,No,No,Yes,Mailed check,8,11.869598967243384,1
210,37,59.81912959537988,3457.46239931692,Two year,Fiber optic,No,No,No,Bank transfer,0,-0.9710008733744218,0
211,32,62.39402082663455,1212.1488860966329,Month-to-month,Fiber optic,No,No,Yes,Credit card,9,3.3667449199412687,0
212,9,29.219074733437303,4154.584719562028,One year,Fiber optic,No,No,No,Bank transfer,3,7.388340694062535,1
213,19,65.47348803498696,4738.715112272004,Two year,Fiber optic,No,No,No,Bank transfer,4,10.92552678520545,0
214,48,132.1245459622061,3864.2662390952273,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,9,7.563932207585623,1
215,3,50.299465545808545,2673.0879471872922,One year,Fiber optic,No,Yes,No,Electronic check,2,-3.0914815871484658,1
216,20,110.37437060730853,5801.023499588713,Month-to-month,Fiber optic,Yes,No,No,Mailed check,2,5.85638656668168,1
217,24,101.85168484201705,689.8269926972702,One year,No,No,No,No,Mailed check,0,12.692133629531401,0
218,54,132.252999087985,7324.078921056974,Month-to-month,DSL,No,Yes,No,Credit card,5,12.360474420479683,1
219,33,37.19743319463497,263.08317241176695,One year,DSL,No,No,Yes,Electronic check,3,6.700312155019226,0
220,24,147.08669484485563,7702.566054162396,Two year,No,No,No,No,Bank transfer,7,14.913924135416778,0
221,36,95.74172398524752,3752.6092473838335,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,5,-2.8975255523128918,1
222,38,149.41163980508585,3360.092557627975,Month-to-month,Fiber optic,No,No,No,Credit card,2,4.5719071478330555,1
223,25,138.4969143625606,2125.9077379591863,One year,No,No,No,No,Electronic check,6,10.502472787054808,1
224,18,48.79724537470375,179.56196517503702,Two year,DSL,No,No,Yes,Mailed check,2,-2.1792376377168154,1
225,66,27.301061287430706,2270.843088932218,Two year,No,No,No,No,Credit card,8,14.454995229657094,0
226,54,53.233082193397,964.2594111366382,Month-to-month,No,Yes,No,No,Bank transfer,7,2.0809309036728996,1
227,35,88.58327436992458,5312.584657277818,Month-to-month,Fiber optic,No,Yes,No,Electronic check,2,2.0027950795718175,1
228,61,42.3075277184747,2620.6922813337374,Two year,No,No,No,No,Mailed check,1,-0.7361139771758758,0
229,41,41.769766787338504,6160.716694388926,Two year,No,No,No,No,Mailed check,2,0.7603492813318873,0
230,33,80.1371611236699,1734.6378800343239,One year,Fiber optic,No,Yes,Yes,Bank transfer,3,6.5517780014619476,0
231,68,24.324836252016595,7211.855373713665,Month-to-month,No,No,No,No,Bank transfer,2,3.5870857810190913,1
232,33,35.84545072919516,4231.553969336077,Month-to-month,Fiber optic,No,No,No,Bank transfer,8,-1.1324364334653958,1
233,14,74.06197412303318,1004.5989521049531,Month-to-month,DSL,No,No,No,Bank transfer,9,11.182798806329387,1
234,21,28.20688819703564,3266.6773616624837,Two year,Fiber optic,No,Yes,Yes,Mailed check,1,-3.7552138575188065,0
235,48,71.57815733921882,1733.4081401511169,Month-to-month,Fiber optic,No,No,Yes,Electronic check,7,11.693054890005435,0
236,20,81.62081457329786,1677.5148667286155,One year,DSL,No,Yes,No,Mailed check,6,0.4987744929582494,0
237,8,78.66465982950487,4100.320927452451,One year,Fiber optic,No,Yes,Yes,Bank transfer,0,4.918066661919436,1
238,7,132.99273146240137,5407.946923527344,Month-to-month,DSL,No,No,Yes,Electronic check,5,2.6212907717678373,1
239,67,88.90811915672522,7301.7838234770825,Month-to-month,DSL,No,No,No,Mailed check,5,6.412042267794282,1
240,17,80.83746012214564,4067.079885032862,One year,Fiber optic,No,No,Yes,Electronic check,8,10.919799902803508,1
241,33,73.3922019009166,7730.1263229608085,Month-to-month,Fiber optic,No,No,Yes,Mailed check,9,14.786395869493902,1
242,48,126.29103917958321,7538.915331379613,Month-to-month,DSL,No,No,Yes,Electronic check,7,1.121182913078032,1
243,59,136.3573585199783,6933.993986876447,Month-to-month,No,No,No,Yes,Mailed check,6,6.076088247270675,1
